Index,Vertices,Partial Domination Fraction,Smallest Set Size,Occurrences,Example Set,Max Minimal Set Size,Gamma - Gamma,Edges,Max Degree,Number of Leaves,Is Unique,Excel Row
1139,12,2/3,3,74,"(0, 2, 3)",4,1,"[(0, 1), (0, 6), (0, 9), (1, 2), (2, 3), (2, 5), (3, 4), (6, 7), (7, 8), (9, 10), (10, 11)]",3,4,False,1141
1140,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 9), (1, 2), (2, 3), (2, 5), (3, 4), (6, 7), (7, 8), (9, 10), (9, 11)]",3,5,False,1142
1141,12,2/3,2,1,"(2, 9)",4,2,"[(0, 1), (0, 6), (0, 9), (1, 2), (2, 3), (2, 5), (3, 4), (6, 7), (7, 8), (9, 10), (9, 11)]",3,5,True,1143
1142,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 6), (0, 9), (0, 11), (1, 2), (2, 3), (2, 5), (3, 4), (6, 7), (7, 8), (9, 10)]",4,5,False,1144
1143,12,2/3,2,2,"(0, 2)",5,3,"[(0, 1), (0, 6), (0, 9), (0, 11), (1, 2), (2, 3), (2, 5), (3, 4), (6, 7), (7, 8), (9, 10)]",4,5,False,1145
1144,12,1/3,1,2,"(0,)",3,2,"[(0, 1), (0, 6), (0, 9), (0, 10), (0, 11), (1, 2), (2, 3), (2, 5), (3, 4), (6, 7), (7, 8)]",5,6,False,1146
1145,12,2/3,2,6,"(0, 2)",5,3,"[(0, 1), (0, 6), (0, 9), (0, 10), (0, 11), (1, 2), (2, 3), (2, 5), (3, 4), (6, 7), (7, 8)]",5,6,False,1147
1146,12,1/3,1,1,"(1,)",2,1,"[(0, 1), (0, 8), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (6, 7), (8, 9), (9, 10), (10, 11)]",3,3,True,1148
1147,12,2/3,3,79,"(0, 1, 10)",4,1,"[(0, 1), (0, 8), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (6, 7), (8, 9), (9, 10), (10, 11)]",3,3,False,1149
1148,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 8), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (5, 7), (8, 9), (9, 10), (10, 11)]",3,4,False,1150
1149,12,2/3,3,73,"(0, 1, 10)",4,1,"[(0, 1), (0, 8), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (5, 7), (8, 9), (9, 10), (10, 11)]",3,4,False,1151
1150,12,1/3,1,1,"(1,)",2,1,"[(0, 1), (0, 8), (1, 2), (1, 5), (1, 7), (2, 3), (3, 4), (5, 6), (8, 9), (9, 10), (10, 11)]",4,4,True,1152
1151,12,2/3,2,2,"(1, 9)",4,2,"[(0, 1), (0, 8), (1, 2), (1, 5), (1, 7), (2, 3), (3, 4), (5, 6), (8, 9), (9, 10), (10, 11)]",4,4,False,1153
1152,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 11), (8, 9), (9, 10)]",3,4,False,1154
1153,12,2/3,3,74,"(0, 1, 9)",4,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 11), (8, 9), (9, 10)]",3,4,False,1155
1154,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (9, 10)]",3,4,False,1156
1155,12,2/3,3,76,"(0, 1, 3)",4,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (9, 10)]",3,4,False,1157
1156,12,1/3,1,2,"(1,)",3,2,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (8, 10), (8, 11)]",4,5,False,1158
1157,12,2/3,2,4,"(1, 8)",5,3,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (8, 10), (8, 11)]",4,5,False,1159
1158,12,1/3,1,3,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 11), (8, 9), (8, 10)]",3,5,False,1160
1159,12,2/3,2,1,"(1, 8)",4,2,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 11), (8, 9), (8, 10)]",3,5,True,1161
1160,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (8, 10)]",3,5,False,1162
1161,12,2/3,2,1,"(1, 8)",5,3,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (8, 10)]",3,5,True,1163
1162,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 10), (8, 9), (10, 11)]",3,4,False,1164
1163,12,2/3,3,75,"(0, 3, 5)",4,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 10), (8, 9), (10, 11)]",3,4,False,1165
1164,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 10), (7, 11), (8, 9)]",4,5,False,1166
1165,12,2/3,2,4,"(1, 7)",5,3,"[(0, 1), (0, 7), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 10), (7, 11), (8, 9)]",4,5,False,1167
1166,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 10), (8, 9)]",3,5,False,1168
1167,12,2/3,3,75,"(0, 1, 3)",4,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (7, 10), (8, 9)]",3,5,False,1169
1168,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 7), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (10, 11)]",3,4,False,1170
1169,12,2/3,3,76,"(0, 1, 3)",4,1,"[(0, 1), (0, 7), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (5, 6), (7, 8), (8, 9), (10, 11)]",3,4,False,1171
1170,12,1/3,1,1,"(1,)",3,2,"[(0, 1), (0, 8), (1, 2), (1, 5), (1, 6), (1, 7), (2, 3), (3, 4), (8, 9), (9, 10), (10, 11)]",5,5,True,1172
1171,12,2/3,2,6,"(1, 3)",5,3,"[(0, 1), (0, 8), (1, 2), (1, 5), (1, 6), (1, 7), (2, 3), (3, 4), (8, 9), (9, 10), (10, 11)]",5,5,False,1173
1172,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 11), (8, 9), (9, 10)]",4,5,False,1174
1173,12,2/3,2,3,"(1, 7)",5,3,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 11), (8, 9), (9, 10)]",4,5,False,1175
1174,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (9, 10)]",4,5,False,1176
1175,12,2/3,2,2,"(1, 8)",5,3,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (9, 10)]",4,5,False,1177
1176,12,1/3,1,2,"(1,)",3,2,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (8, 10), (8, 11)]",4,6,False,1178
1177,12,2/3,2,3,"(1, 8)",5,3,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (8, 10), (8, 11)]",4,6,False,1179
1178,12,1/3,1,3,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 11), (8, 9), (8, 10)]",4,6,False,1180
1179,12,2/3,2,2,"(1, 7)",5,3,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 11), (8, 9), (8, 10)]",4,6,False,1181
1180,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (8, 10)]",4,6,False,1182
1181,12,2/3,2,1,"(1, 8)",5,3,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (8, 10)]",4,6,True,1183
1182,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 10), (8, 9), (10, 11)]",4,5,False,1184
1183,12,2/3,2,3,"(1, 7)",5,3,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 10), (8, 9), (10, 11)]",4,5,False,1185
1184,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 10), (7, 11), (8, 9)]",4,6,False,1186
1185,12,2/3,2,4,"(1, 7)",5,3,"[(0, 1), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 10), (7, 11), (8, 9)]",4,6,False,1187
1186,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 10), (8, 9)]",4,6,False,1188
1187,12,2/3,2,2,"(1, 7)",5,3,"[(0, 1), (0, 7), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (7, 10), (8, 9)]",4,6,False,1189
1188,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 7), (0, 10), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (10, 11)]",4,5,False,1190
1189,12,2/3,2,1,"(1, 8)",5,3,"[(0, 1), (0, 7), (0, 10), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9), (10, 11)]",4,5,True,1191
1190,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 7), (0, 10), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9)]",4,6,False,1192
1191,12,2/3,2,3,"(0, 1)",5,3,"[(0, 1), (0, 7), (0, 10), (0, 11), (1, 2), (1, 5), (1, 6), (2, 3), (3, 4), (7, 8), (8, 9)]",4,6,False,1193
1192,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (7, 8), (8, 9)]",3,5,False,1194
1193,12,2/3,3,73,"(0, 1, 3)",4,1,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (7, 8), (8, 9)]",3,5,False,1195
1194,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 6), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (8, 9), (10, 11)]",3,4,False,1196
1195,12,2/3,3,73,"(0, 1, 3)",4,1,"[(0, 1), (0, 6), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (8, 9), (10, 11)]",3,4,False,1197
1196,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 6), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (8, 9)]",4,5,False,1198
1197,12,2/3,2,2,"(0, 3)",5,3,"[(0, 1), (0, 6), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (8, 9)]",4,5,False,1199
1198,12,1/3,1,2,"(1,)",3,2,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9), (7, 10), (7, 11)]",5,6,False,1200
1199,12,2/3,2,6,"(0, 7)",5,3,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9), (7, 10), (7, 11)]",5,6,False,1201
1200,12,1/3,1,3,"(1,)",3,2,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 11), (7, 8), (7, 9), (7, 10)]",4,6,False,1202
1201,12,2/3,2,3,"(1, 7)",5,3,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 11), (7, 8), (7, 9), (7, 10)]",4,6,False,1203
1202,12,1/3,1,3,"(0,)",3,2,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9), (7, 10)]",4,6,False,1204
1203,12,2/3,2,4,"(0, 7)",5,3,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9), (7, 10)]",4,6,False,1205
1204,12,1/3,1,3,"(1,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (7, 8), (7, 9), (10, 11)]",3,5,False,1206
1205,12,2/3,2,1,"(1, 7)",5,3,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (7, 8), (7, 9), (10, 11)]",3,5,True,1207
1206,12,1/3,1,3,"(1,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (6, 11), (7, 8), (7, 9)]",4,6,False,1208
1207,12,2/3,2,4,"(1, 6)",5,3,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (6, 11), (7, 8), (7, 9)]",4,6,False,1209
1208,12,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (7, 8), (7, 9)]",3,6,False,1210
1209,12,2/3,2,1,"(1, 7)",5,3,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 10), (7, 8), (7, 9)]",3,6,True,1211
1210,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9), (10, 11)]",3,5,False,1212
1211,12,2/3,2,1,"(1, 7)",5,3,"[(0, 1), (0, 6), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9), (10, 11)]",3,5,True,1213
1212,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9)]",4,6,False,1214
1213,12,2/3,2,3,"(0, 3)",5,3,"[(0, 1), (0, 6), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (7, 9)]",4,6,False,1215
1214,12,1/3,1,2,"(1,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (6, 11), (7, 8), (9, 10)]",4,5,False,1216
1215,12,2/3,2,3,"(1, 6)",5,3,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (6, 11), (7, 8), (9, 10)]",4,5,False,1217
1216,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (7, 8), (9, 10)]",3,5,False,1218
1217,12,2/3,3,78,"(0, 1, 3)",4,1,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (7, 8), (9, 10)]",3,5,False,1219
1218,12,1/3,1,2,"(1,)",3,2,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (6, 10), (6, 11), (7, 8)]",5,6,False,1220
1219,12,2/3,2,5,"(1, 6)",5,3,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (6, 10), (6, 11), (7, 8)]",5,6,False,1221
1220,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (6, 10), (7, 8)]",4,6,False,1222
1221,12,2/3,2,3,"(1, 6)",5,3,"[(0, 1), (0, 6), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (6, 10), (7, 8)]",4,6,False,1223
1222,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (7, 8), (10, 11)]",3,5,False,1224
1223,12,2/3,3,73,"(0, 1, 3)",4,1,"[(0, 1), (0, 6), (0, 10), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (7, 8), (10, 11)]",3,5,False,1225
1224,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (7, 8)]",4,6,False,1226
1225,12,2/3,2,1,"(0, 3)",5,3,"[(0, 1), (0, 6), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (6, 9), (7, 8)]",4,6,True,1227
1226,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 6), (0, 9), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (9, 10), (10, 11)]",3,4,False,1228
1227,12,2/3,3,74,"(0, 1, 3)",4,1,"[(0, 1), (0, 6), (0, 9), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (9, 10), (10, 11)]",3,4,False,1229
1228,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 9), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (9, 10), (9, 11)]",3,5,False,1230
1229,12,2/3,3,70,"(0, 1, 3)",5,2,"[(0, 1), (0, 6), (0, 9), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (9, 10), (9, 11)]",3,5,False,1231
1230,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 6), (0, 9), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (9, 10)]",4,5,False,1232
1231,12,2/3,2,1,"(0, 3)",4,2,"[(0, 1), (0, 6), (0, 9), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8), (9, 10)]",4,5,True,1233
1232,12,1/3,1,2,"(0,)",3,2,"[(0, 1), (0, 6), (0, 9), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8)]",5,6,False,1234
1233,12,2/3,2,6,"(0, 1)",5,3,"[(0, 1), (0, 6), (0, 9), (0, 10), (0, 11), (1, 2), (1, 5), (2, 3), (3, 4), (6, 7), (7, 8)]",5,6,False,1235
1234,12,1/3,1,1,"(0,)",2,1,"[(0, 1), (0, 5), (0, 9), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8), (9, 10), (10, 11)]",3,3,True,1236
1235,12,2/3,3,72,"(0, 1, 7)",4,1,"[(0, 1), (0, 5), (0, 9), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8), (9, 10), (10, 11)]",3,3,False,1237
1236,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 5), (0, 9), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8), (9, 10), (9, 11)]",3,4,False,1238
1237,12,2/3,3,69,"(0, 1, 7)",4,1,"[(0, 1), (0, 5), (0, 9), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8), (9, 10), (9, 11)]",3,4,False,1239
1238,12,1/3,1,1,"(0,)",2,1,"[(0, 1), (0, 5), (0, 9), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8), (9, 10)]",4,4,True,1240
1239,12,2/3,2,2,"(0, 3)",4,2,"[(0, 1), (0, 5), (0, 9), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8), (9, 10)]",4,4,False,1241
1240,12,1/3,1,1,"(0,)",3,2,"[(0, 1), (0, 5), (0, 9), (0, 10), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8)]",5,5,True,1242
1241,12,2/3,2,6,"(0, 2)",5,3,"[(0, 1), (0, 5), (0, 9), (0, 10), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8)]",5,5,False,1243
1242,12,1/3,1,1,"(6,)",3,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11)]",6,6,True,1244
1243,12,2/3,2,6,"(0, 6)",6,4,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11)]",6,6,False,1245
1244,12,1/3,1,2,"(5,)",3,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 11), (6, 7), (6, 8), (6, 9), (6, 10)]",5,6,False,1246
1245,12,2/3,2,6,"(0, 6)",5,3,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 11), (6, 7), (6, 8), (6, 9), (6, 10)]",5,6,False,1247
1246,12,1/3,1,2,"(0,)",3,2,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9), (6, 10)]",5,6,False,1248
1247,12,2/3,2,6,"(0, 6)",6,4,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9), (6, 10)]",5,6,False,1249
1248,12,1/3,1,2,"(5,)",3,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 10), (6, 7), (6, 8), (6, 9), (10, 11)]",4,5,False,1250
1249,12,2/3,2,3,"(1, 6)",5,3,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 10), (6, 7), (6, 8), (6, 9), (10, 11)]",4,5,False,1251
1250,12,1/3,1,2,"(5,)",3,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 10), (5, 11), (6, 7), (6, 8), (6, 9)]",4,6,False,1252
1251,12,2/3,2,6,"(1, 6)",5,3,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 10), (5, 11), (6, 7), (6, 8), (6, 9)]",4,6,False,1253
1252,12,1/3,1,3,"(0,)",3,2,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 10), (6, 7), (6, 8), (6, 9)]",4,6,False,1254
1253,12,2/3,2,4,"(0, 6)",5,3,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 10), (6, 7), (6, 8), (6, 9)]",4,6,False,1255
1254,12,1/3,1,2,"(0,)",3,2,"[(0, 1), (0, 5), (0, 10), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9), (10, 11)]",4,5,False,1256
1255,12,2/3,2,5,"(0, 6)",5,3,"[(0, 1), (0, 5), (0, 10), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9), (10, 11)]",4,5,False,1257
1256,12,1/3,1,2,"(0,)",3,2,"[(0, 1), (0, 5), (0, 10), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9)]",4,6,False,1258
1257,12,2/3,2,5,"(0, 3)",6,4,"[(0, 1), (0, 5), (0, 10), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (6, 9)]",4,6,False,1259
1258,12,1/3,1,3,"(5,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8), (9, 10), (9, 11)]",3,5,False,1260
1259,12,2/3,3,67,"(0, 2, 6)",5,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8), (9, 10), (9, 11)]",3,5,False,1261
1260,12,1/3,1,2,"(5,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (5, 11), (6, 7), (6, 8), (9, 10)]",4,5,False,1262
1261,12,2/3,2,2,"(2, 5)",4,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (5, 11), (6, 7), (6, 8), (9, 10)]",4,5,False,1263
1262,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8), (9, 10)]",3,5,False,1264
1263,12,2/3,3,73,"(0, 1, 6)",5,2,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8), (9, 10)]",3,5,False,1265
1264,12,1/3,1,2,"(5,)",3,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (5, 10), (5, 11), (6, 7), (6, 8)]",5,6,False,1266
1265,12,2/3,2,5,"(1, 5)",5,3,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (5, 10), (5, 11), (6, 7), (6, 8)]",5,6,False,1267
1266,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (5, 10), (6, 7), (6, 8)]",4,6,False,1268
1267,12,2/3,2,2,"(2, 5)",5,3,"[(0, 1), (0, 5), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (5, 10), (6, 7), (6, 8)]",4,6,False,1269
1268,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (0, 10), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8), (10, 11)]",3,5,False,1270
1269,12,2/3,3,65,"(0, 1, 6)",4,1,"[(0, 1), (0, 5), (0, 10), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8), (10, 11)]",3,5,False,1271
1270,12,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (0, 10), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8)]",4,6,False,1272
1271,12,2/3,2,2,"(0, 3)",5,3,"[(0, 1), (0, 5), (0, 10), (0, 11), (1, 2), (2, 3), (3, 4), (5, 6), (5, 9), (6, 7), (6, 8)]",4,6,False,1273
1272,12,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 5), (0, 9), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8), (9, 10), (10, 11)]",3,4,False,1274
