Index,Vertices,Partial Domination Fraction,Smallest Set Size,Occurrences,Example Set,Max Minimal Set Size,Gamma - Gamma,Edges,Max Degree,Number of Leaves,Is Unique,Excel Row
44,7,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 3), (0, 5), (0, 6), (1, 2), (3, 4)]",4,4,False,46
45,7,2/3,1,1,"(0,)",3,2,"[(0, 1), (0, 3), (0, 5), (0, 6), (1, 2), (3, 4)]",4,4,True,47
46,7,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2)]",5,5,False,48
47,7,2/3,1,1,"(0,)",4,3,"[(0, 1), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2)]",5,5,True,49
48,7,1/3,1,1,"(0,)",2,1,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]",6,6,True,50
49,7,2/3,1,1,"(0,)",4,3,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6)]",6,6,True,51
50,8,1/3,1,6,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7)]",2,2,False,52
51,8,2/3,2,6,"(0, 3)",3,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7)]",2,2,False,53
52,8,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (6, 7)]",3,3,False,54
53,8,2/3,2,5,"(0, 2)",3,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (6, 7)]",3,3,False,55
54,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (5, 7)]",3,4,False,56
55,8,2/3,2,7,"(0, 2)",4,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (5, 7)]",3,4,False,57
56,8,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (6, 7)]",3,3,False,58
57,8,2/3,2,5,"(1, 5)",3,1,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (6, 7)]",3,3,False,59
58,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (5, 7)]",3,4,False,60
59,8,2/3,2,6,"(1, 5)",4,2,"[(0, 1), (0, 5), (1, 2), (1, 4), (2, 3), (5, 6), (5, 7)]",3,4,False,61
60,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 4), (2, 3), (5, 6)]",3,4,False,62
61,8,2/3,2,6,"(0, 1)",3,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 4), (2, 3), (5, 6)]",3,4,False,63
62,8,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (5, 6)]",3,3,False,64
63,8,2/3,2,7,"(0, 2)",3,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (5, 6)]",3,3,False,65
64,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (1, 2), (2, 3), (4, 5), (4, 6), (4, 7)]",4,4,False,66
65,8,2/3,2,4,"(0, 4)",4,2,"[(0, 1), (0, 4), (1, 2), (2, 3), (4, 5), (4, 6), (4, 7)]",4,4,False,67
66,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (4, 6)]",3,4,False,68
67,8,2/3,2,6,"(0, 2)",3,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (4, 6)]",3,4,False,69
68,8,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 4), (0, 6), (1, 2), (2, 3), (4, 5), (6, 7)]",3,3,False,70
69,8,2/3,2,4,"(0, 2)",3,1,"[(0, 1), (0, 4), (0, 6), (1, 2), (2, 3), (4, 5), (6, 7)]",3,3,False,71
70,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 6), (0, 7), (1, 2), (2, 3), (4, 5)]",4,4,False,72
71,8,2/3,2,6,"(0, 1)",4,2,"[(0, 1), (0, 4), (0, 6), (0, 7), (1, 2), (2, 3), (4, 5)]",4,4,False,73
72,8,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (6, 7)]",5,5,False,74
73,8,2/3,1,1,"(1,)",4,3,"[(0, 1), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (6, 7)]",5,5,True,75
74,8,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (1, 3), (1, 4), (5, 6), (5, 7)]",4,5,False,76
75,8,2/3,2,7,"(0, 1)",4,2,"[(0, 1), (0, 5), (1, 2), (1, 3), (1, 4), (5, 6), (5, 7)]",4,5,False,77
76,8,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 3), (1, 4), (5, 6)]",4,5,False,78
77,8,2/3,2,4,"(0, 1)",4,2,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 3), (1, 4), (5, 6)]",4,5,False,79
78,8,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 4)]",4,6,False,80
79,8,2/3,2,7,"(0, 1)",4,2,"[(0, 1), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 4)]",4,6,False,81
80,8,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (1, 3), (4, 5), (4, 6)]",3,5,False,82
81,8,2/3,2,7,"(0, 1)",4,2,"[(0, 1), (0, 4), (0, 7), (1, 2), (1, 3), (4, 5), (4, 6)]",3,5,False,83
82,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 6), (1, 2), (1, 3), (4, 5), (6, 7)]",3,4,False,84
83,8,2/3,2,5,"(0, 1)",3,1,"[(0, 1), (0, 4), (0, 6), (1, 2), (1, 3), (4, 5), (6, 7)]",3,4,False,85
84,8,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 4), (0, 6), (0, 7), (1, 2), (1, 3), (4, 5)]",4,5,False,86
85,8,2/3,2,7,"(0, 1)",4,2,"[(0, 1), (0, 4), (0, 6), (0, 7), (1, 2), (1, 3), (4, 5)]",4,5,False,87
86,8,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3)]",5,6,False,88
87,8,2/3,1,1,"(0,)",4,3,"[(0, 1), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3)]",5,6,True,89
88,8,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 3), (0, 5), (0, 7), (1, 2), (3, 4), (5, 6)]",4,4,False,90
89,8,2/3,2,6,"(0, 1)",3,1,"[(0, 1), (0, 3), (0, 5), (0, 7), (1, 2), (3, 4), (5, 6)]",4,4,False,91
90,8,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 3), (0, 5), (0, 6), (0, 7), (1, 2), (3, 4)]",5,5,False,92
91,8,2/3,1,1,"(0,)",4,3,"[(0, 1), (0, 3), (0, 5), (0, 6), (0, 7), (1, 2), (3, 4)]",5,5,True,93
92,8,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2)]",6,6,False,94
93,8,2/3,1,1,"(0,)",5,4,"[(0, 1), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2)]",6,6,True,95
